id;m_source;c_source;m_country_code;c_country_code;m_source_id;c_source_id;validation_status
4579621;AZT;CMA;LT;LT;734007475202;26490;gpt_2
4582829;AZT;NTN;LT;LT;227166;16091887;gpt_2
4586535;AZT;GIN;LT;LT;226706;43357;gpt_2
4586541;AZT;GIN;LT;LT;226705;43351;gpt_2
4593285;AZT;CMA;LT;LT;477016109500;22743;gpt_2
4593286;AZT;CMA;LT;LT;477016109997;16095;gpt_2
4593298;AZT;NTN;LT;LT;477000133622;16230562;gpt_2
6436210;AZT;GIN;LT;LT;219560;42256;gpt_2
6436214;AZT;GIN;LT;LT;227021;42322;gpt_2
6436218;AZT;CMA;LT;LT;227021;26418;gpt_2
6436267;AZT;BNU;LT;LT;227025;10085991;gpt_2
7588257;AZT;CMA;LT;LT;226478;17354;gpt_2
